epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
82,1100.15,0.57739,0.42471,0.00224,0.97058,0.9696,0.99179,0.92307,0.39352,0.17929,0.00182,0.000104201,0.000104201,0.000104201
83,1113.46,0.55774,0.40797,0.00222,0.97215,0.97063,0.99169,0.92191,0.3905,0.17961,0.0018,9.89932e-05,9.89932e-05,9.89932e-05
84,1126.35,0.56981,0.40577,0.00216,0.9729,0.97083,0.99199,0.92425,0.38795,0.17502,0.00179,9.37858e-05,9.37858e-05,9.37858e-05
85,1138.69,0.57292,0.41218,0.00222,0.97686,0.96406,0.99189,0.92639,0.38603,0.17632,0.00179,8.85784e-05,8.85784e-05,8.85784e-05
86,1151.61,0.56263,0.39773,0.00219,0.98342,0.96141,0.99252,0.9272,0.38605,0.17283,0.00177,8.3371e-05,8.3371e-05,8.3371e-05
87,1164.94,0.5597,0.39799,0.00215,0.9705,0.97392,0.99212,0.92734,0.38186,0.17177,0.00177,7.81636e-05,7.81636e-05,7.81636e-05
88,1177.98,0.55561,0.40186,0.00215,0.97529,0.96945,0.9921,0.92605,0.38466,0.17355,0.00178,7.29562e-05,7.29562e-05,7.29562e-05
89,1191.48,0.55221,0.39568,0.00219,0.96413,0.97345,0.99161,0.92502,0.38523,0.17557,0.00178,6.77488e-05,6.77488e-05,6.77488e-05
90,1205.06,0.55454,0.40469,0.00214,0.97635,0.96494,0.99179,0.92602,0.3813,0.17439,0.00177,6.25414e-05,6.25414e-05,6.25414e-05
91,1219.6,0.41455,0.21078,0.00198,0.9676,0.97149,0.99164,0.92508,0.38701,0.17696,0.00179,5.7334e-05,5.7334e-05,5.7334e-05
92,1232.62,0.40717,0.20874,0.0019,0.97017,0.9719,0.99215,0.92632,0.38455,0.17245,0.00177,5.21266e-05,5.21266e-05,5.21266e-05
93,1245.67,0.4065,0.21149,0.00195,0.96859,0.97541,0.99224,0.9275,0.38345,0.17356,0.00177,4.69192e-05,4.69192e-05,4.69192e-05
94,1258.69,0.40601,0.21047,0.00194,0.97541,0.96948,0.99239,0.92786,0.38032,0.17072,0.00175,4.17118e-05,4.17118e-05,4.17118e-05
95,1271,0.40192,0.20552,0.0019,0.97596,0.96985,0.9925,0.93017,0.37885,0.16994,0.00174,3.65044e-05,3.65044e-05,3.65044e-05
96,1283.75,0.39161,0.20142,0.00188,0.97462,0.97111,0.99236,0.92941,0.37877,0.16869,0.00174,3.1297e-05,3.1297e-05,3.1297e-05
97,1296.85,0.39576,0.19788,0.00189,0.97237,0.97255,0.99243,0.93074,0.37548,0.16876,0.00173,2.60896e-05,2.60896e-05,2.60896e-05
98,1309.81,0.39083,0.20263,0.00184,0.96857,0.97136,0.99242,0.92998,0.37666,0.16912,0.00173,2.08822e-05,2.08822e-05,2.08822e-05
99,1322.59,0.38897,0.19202,0.00186,0.97275,0.96958,0.99255,0.93112,0.37388,0.16699,0.00172,1.56748e-05,1.56748e-05,1.56748e-05
100,1335.52,0.39573,0.20456,0.00185,0.97094,0.97101,0.99247,0.92989,0.37547,0.16719,0.00173,1.04674e-05,1.04674e-05,1.04674e-05
